first,last,job,phone,email,client_id,order_id,order_date,order_week,order_year,item_id,category,subcategory,unit_price,unit_cost,unit_weight,qty,line_number,subtotal,SUB2,shipping_price,SP2,total_price,TP2,cost,profit
Kimberly,Blair,Geographical information systems officer,477-680-9323x27378,blair.kimberly.6618@nelson.biz,78447,2742071,2/27/2023,9,2023,ACU90518-83-2B,consumables,bathroom supplies,5.59,3.05,10.46,77,5,430.43,430.43,104.6,104.6,584.520275,584.520275,339.45,245.070275
Kimberly,Blair,Geographical information systems officer,477-680-9323x27378,blair.kimberly.6618@nelson.biz,78447,2742071,2/27/2023,9,2023,BMD72525-90-2X,consumables,bathroom supplies,460.2,407.68,2.6,260,0,119652,119652,26,26,130748.215,130748.215,106022.8,24725.415
Kimberly,Blair,Geographical information systems officer,477-680-9323x27378,blair.kimberly.6618@nelson.biz,78447,2742071,2/27/2023,9,2023,DEE52027-40-3U,software,project management,135.12,80.78,2.27,12,3,1621.44,1621.44,22.7,22.7,1796.22295,1796.22295,992.06,804.16295
Kimberly,Blair,Geographical information systems officer,477-680-9323x27378,blair.kimberly.6618@nelson.biz,78447,2742071,2/27/2023,9,2023,AEC69505-92-4M,furniture,tables,47.59,35.41,0.54,22,1,1046.98,1046.98,5.4,5.4,1149.72515,1149.72515,784.42,365.30515
Kimberly,Blair,Geographical information systems officer,477-680-9323x27378,blair.kimberly.6618@nelson.biz,78447,2742071,2/27/2023,9,2023,AEE28845-01-5Z,consumables,kitchen supplies,59.69,54.86,1.57,24,2,1432.56,1432.56,15.7,15.7,1582.22405,1582.22405,1332.34,249.88405
Kimberly,Blair,Geographical information systems officer,477-680-9323x27378,blair.kimberly.6618@nelson.biz,78447,2742071,2/27/2023,9,2023,BDB35685-37-8X,decor,wall art,82.18,61.07,3.04,44,4,3615.92,3615.92,30.4,30.4,3983.6046,3983.6046,2717.48,1266.1246
,,,,,,,,,,,,,,,,,,,,,,,139844.512,,
Darius,Stevens,"Physicist, medical",+1-220-240-7019x2774,stevensdarius@rich-leach.net,22122,2173913,2/19/2023,7,2023,CDB25978-21-3E,consumables,kitchen supplies,110.27,96.23,2.66,70,4,7718.9,7718.9,26.6,26.6,8461.95875,8461.95875,6762.7,1699.25875
Darius,Stevens,"Physicist, medical",+1-220-240-7019x2774,stevensdarius@rich-leach.net,22122,2173913,2/19/2023,7,2023,XED42806-14-3M,consumables,paper products,3.28,2.09,1.04,36,2,118.08,118.08,10.4,10.4,140.3644,140.3644,85.64,54.7244
Darius,Stevens,"Physicist, medical",+1-220-240-7019x2774,stevensdarius@rich-leach.net,22122,2173913,2/19/2023,7,2023,CXD77584-10-1E,consumables,paper products,253.71,160.5,4.08,23,6,5835.33,5835.33,40.8,40.8,6419.672025,6419.672025,3732.3,2687.372025
Darius,Stevens,"Physicist, medical",+1-220-240-7019x2774,stevensdarius@rich-leach.net,22122,2173913,2/19/2023,7,2023,ZEM15049-62-0D,decor,plants,34.06,18.02,5.67,63,5,2145.78,2145.78,56.7,56.7,2406.2094,2406.2094,1191.96,1214.2494
Darius,Stevens,"Physicist, medical",+1-220-240-7019x2774,stevensdarius@rich-leach.net,22122,2173913,2/19/2023,7,2023,MXX42023-02-3M,furniture,stands,87.43,45.64,0.17,99,3,8655.57,8655.57,1.7,1.7,9458.067475,9458.067475,4520.06,4938.007475
Darius,Stevens,"Physicist, medical",+1-220-240-7019x2774,stevensdarius@rich-leach.net,22122,2173913,2/19/2023,7,2023,BCE01616-94-8D,software,accounting,91.75,71.2,6.27,29,1,2660.75,2660.75,62.7,62.7,2975.369125,2975.369125,2127.5,847.869125
Darius,Stevens,"Physicist, medical",+1-220-240-7019x2774,stevensdarius@rich-leach.net,22122,2173913,2/19/2023,7,2023,CUD90717-60-5M,software,accounting,91.35,81.11,5.22,901,0,82306.35,82306.35,52.2,52.2,89976.71588,89976.71588,73132.31,16844.40587
,,,,,,,,,,,,,,,,,,,,,,,119838.3571,,
Dorothy,Hall,"Journalist, broadcasting",001-338-609-8495x03504,dorothy.per.1343@mitchell-chambers.com,88257,6128929,3/12/2023,10,2023,DUX14130-38-6U,consumables,kitchen supplies,13.25,11.75,7.61,671,3,8890.75,8890.75,76.1,76.1,9796.283625,9796.283625,7960.35,1835.933625
